Film,Film Studio/Producer(s)
Roma,Gabriela Rodríguez and Alfonso Cuarón
A Star Is Born,"Bill Gerber, Bradley Cooper, and Lynette Howell Taylor"
Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay, and Kevin Messick"
Parasite,Kwak Sin-ae and Bong Joon-ho
Ford v Ferrari,"Peter Chernin, Jenno Topping, and James Mangold"
The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal, and Emma Tillinger Koskoff"
Jojo Rabbit,"Carthew Neal, Taika Waititi, and Chelsea Winstanley"
Joker,"Todd Phillips, Bradley Cooper, and Emma Tillinger Koskoff"
Little Women,Amy Pascal
Marriage Story,Noah Baumbach and David Heyman
1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, and Callum McDougall"
Once Upon a Time in Hollywood,"David Heyman, Shannon McIntosh, and Quentin Tarantino"
Nomadland,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey, and Chloé Zhao"
The Father,"David Parfitt, Jean-Louis Livi, and Philippe Carcassonne"
Judas and the Black Messiah,"Shaka King, Charles D. King, and Ryan Coogler"
Mank,"Ceán Chaffin, Eric Roth, and Douglas Urbanski"
Minari,Christina Oh
Promising Young Woman,"Ben Browning, Ashley Fox, Emerald Fennell, and Josey McNamara"
Sound of Metal,Bert Hamelinck and Sacha Ben Harroche
The Trial of the Chicago 7,Marc Platt and Stuart M. Besser
CODA,"Philippe Rousselet, Fabrice Gianfermi, and Patrick Wachsberger"
Belfast,"Laura Berwick, Kenneth Branagh, Becca Kovacik, and Tamar Thomas"
Don't Look Up,Adam McKay and Kevin Messick
Drive My Car,Teruhisa Yamamoto
Dune,"Mary Parent, Denis Villeneuve, and Cale Boyter"
King Richard,"Tim White, Trevor White, and Will Smith"
Licorice Pizza,"Sara Murphy, Adam Somner, and Paul Thomas Anderson"
Nightmare Alley,"Guillermo del Toro, J. Miles Dale, and Bradley Cooper"
The Power of the Dog,"Jane Campion, Tanya Seghatchian, Emile Sherman, Iain Canning, and Roger Frappier"
West Side Story,Steven Spielberg and Kristie Macosko Krieger
Everything Everywhere All at Once,"Daniel Kwan, Daniel Scheinert, and Jonathan Wang"
All Quiet on the Western Front,Malte Grunert
Avatar: The Way of Water,James Cameron and Jon Landau
The Banshees of Inisherin,"Graham Broadbent, Peter Czernin, and Martin McDonagh"
Elvis,"Baz Luhrmann, Catherine Martin, Gail Berman, Patrick McCormick, and Schuyler Weiss"
The Fabelmans,"Kristie Macosko Krieger, Steven Spielberg, and Tony Kushner"
Tár,"Todd Field, Alexandra Milchan, and Scott Lambert"
Top Gun: Maverick,"Tom Cruise, Christopher McQuarrie, David Ellison, and Jerry Bruckheimer"
Triangle of Sadness,Erik Hemmendorff and Philippe Bober
Women Talking,"Dede Gardner, Jeremy Kleiner, and Frances McDormand"
Oppenheimer,"Emma Thomas, Charles Roven, and Christopher Nolan"
American Fiction,"Ben LeClair, Nikos Karamigios, Cord Jefferson, and Jermaine Johnson"
Anatomy of a Fall,Marie-Ange Luciani and David Thion
Barbie,"David Heyman, Margot Robbie, Tom Ackerley, and Robbie Brenner"
The Holdovers,Mark Johnson
Killers of the Flower Moon,"Dan Friedkin, Bradley Thomas, Martin Scorsese, and Daniel Lupi"
Maestro,"Bradley Cooper, Steven Spielberg, Fred Berner, Amy Durning, and Kristie Macosko Krieger"
Past Lives,"David Hinojosa, Christine Vachon, and Pamela Koffler"
Poor Things,"Ed Guiney, Andrew Lowe, Yorgos Lanthimos, and Emma Stone"
The Zone of Interest,James Wilson
Anora,"Alex Coco, Samantha Quan, and Sean Baker"
The Brutalist,"Nick Gordon, Brian Young, Andrew Morrison, D.J. Gugenheim, and Brady Corbet"
A Complete Unknown,"Fred Berger, James Mangold, and Alex Heineman"
Conclave,"Tessa Ross, Juliette Howell, and Michael A. Jackman"
Dune: Part Two,"Mary Parent, Cale Boyter, Tanya Lapointe, and Denis Villeneuve"
Emilia Pérez,Pascal Caucheteux and Jacques Audiard
I'm Still Here,Maria Carlota Bruno and Rodrigo Teixeira
Nickel Boys,"Dede Gardner, Jeremy Kleiner, and Joslyn Barnes"
The Substance,"Coralie Fargeat, Tim Bevan, and Eric Fellner"
Wicked,Marc Platt
